Departamento,Provincia,Distrito,Sexo,Edad,Donacion,Cantidad
Cajamarca,Chota,Huambos,Hombre,23,NE,40
Cajamarca,Chota,Huambos,Hombre,24,SI,4
Cajamarca,Chota,Huambos,Hombre,24,NO,50
Cajamarca,Chota,Huambos,Hombre,24,NE,35
Cajamarca,Chota,Huambos,Hombre,25,SI,2
Cajamarca,Chota,Huambos,Hombre,25,NO,50
Cajamarca,Chota,Huambos,Hombre,25,NE,26
Cajamarca,Chota,Huambos,Mujer,18,SI,1
Cajamarca,Chota,Huambos,Mujer,18,NO,27
Cajamarca,Chota,Huambos,Mujer,18,NE,62
Cajamarca,Chota,Huambos,Mujer,19,NO,24
Cajamarca,Chota,Huambos,Mujer,19,NE,52
Cajamarca,Chota,Huambos,Mujer,20,NO,18
Cajamarca,Chota,Huambos,Mujer,20,NE,58
Cajamarca,Chota,Huambos,Mujer,21,SI,1
Cajamarca,Chota,Huambos,Mujer,21,NO,26
Cajamarca,Chota,Huambos,Mujer,21,NE,54
Cajamarca,Chota,Huambos,Mujer,22,SI,1
Cajamarca,Chota,Huambos,Mujer,22,NO,26
Cajamarca,Chota,Huambos,Mujer,22,NE,45
Cajamarca,Chota,Huambos,Mujer,23,SI,2
Cajamarca,Chota,Huambos,Mujer,23,NO,21
Cajamarca,Chota,Huambos,Mujer,23,NE,47
Cajamarca,Chota,Huambos,Mujer,24,NO,42
Cajamarca,Chota,Huambos,Mujer,24,NE,53
Cajamarca,Chota,Huambos,Mujer,25,SI,2
Cajamarca,Chota,Huambos,Mujer,25,NO,30
Cajamarca,Chota,Huambos,Mujer,25,NE,42
Cajamarca,Chota,Lajas,Hombre,18,NO,19
Cajamarca,Chota,Lajas,Hombre,18,NE,104
Cajamarca,Chota,Lajas,Hombre,19,NO,24
Cajamarca,Chota,Lajas,Hombre,19,NE,82
Cajamarca,Chota,Lajas,Hombre,20,SI,3
Cajamarca,Chota,Lajas,Hombre,20,NO,42
Cajamarca,Chota,Lajas,Hombre,20,NE,85
Cajamarca,Chota,Lajas,Hombre,21,SI,3
Cajamarca,Chota,Lajas,Hombre,21,NO,25
Cajamarca,Chota,Lajas,Hombre,21,NE,87
Cajamarca,Chota,Lajas,Hombre,22,SI,2
Cajamarca,Chota,Lajas,Hombre,22,NO,44
Cajamarca,Chota,Lajas,Hombre,22,NE,67
Cajamarca,Chota,Lajas,Hombre,23,SI,6
Cajamarca,Chota,Lajas,Hombre,23,NO,43
Cajamarca,Chota,Lajas,Hombre,23,NE,57
Cajamarca,Chota,Lajas,Hombre,24,SI,1
Cajamarca,Chota,Lajas,Hombre,24,NO,61
Cajamarca,Chota,Lajas,Hombre,24,NE,53
Cajamarca,Chota,Lajas,Hombre,25,SI,5
Cajamarca,Chota,Lajas,Hombre,25,NO,62
Cajamarca,Chota,Lajas,Hombre,25,NE,38
Cajamarca,Chota,Lajas,Mujer,18,NO,13
Cajamarca,Chota,Lajas,Mujer,18,NE,130
Cajamarca,Chota,Lajas,Mujer,19,NO,22
Cajamarca,Chota,Lajas,Mujer,19,NE,91
Cajamarca,Chota,Lajas,Mujer,20,NO,23
Cajamarca,Chota,Lajas,Mujer,20,NE,98
Cajamarca,Chota,Lajas,Mujer,21,SI,1
Cajamarca,Chota,Lajas,Mujer,21,NO,26
Cajamarca,Chota,Lajas,Mujer,21,NE,90
Cajamarca,Chota,Lajas,Mujer,22,SI,2
Cajamarca,Chota,Lajas,Mujer,22,NO,43
Cajamarca,Chota,Lajas,Mujer,22,NE,73
Cajamarca,Chota,Lajas,Mujer,23,SI,4
Cajamarca,Chota,Lajas,Mujer,23,NO,57
Cajamarca,Chota,Lajas,Mujer,23,NE,79
Cajamarca,Chota,Lajas,Mujer,24,SI,5
Cajamarca,Chota,Lajas,Mujer,24,NO,37
Cajamarca,Chota,Lajas,Mujer,24,NE,82
Cajamarca,Chota,Lajas,Mujer,25,SI,4
Cajamarca,Chota,Lajas,Mujer,25,NO,94
Cajamarca,Chota,Lajas,Mujer,25,NE,33
Cajamarca,Chota,Querocoto,Hombre,18,NO,22
Cajamarca,Chota,Querocoto,Hombre,18,NE,71
Cajamarca,Chota,Querocoto,Hombre,19,NO,44
Cajamarca,Chota,Querocoto,Hombre,19,NE,50
Cajamarca,Chota,Querocoto,Hombre,20,SI,2
Cajamarca,Chota,Querocoto,Hombre,20,NO,28
Cajamarca,Chota,Querocoto,Hombre,20,NE,60
Cajamarca,Chota,Querocoto,Hombre,21,SI,3
Cajamarca,Chota,Querocoto,Hombre,21,NO,30
Cajamarca,Chota,Querocoto,Hombre,21,NE,46
Cajamarca,Chota,Querocoto,Hombre,22,SI,3
